"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"sas-organisation-logical","sas-organisation-logical","","","",0,*,"","","","null {[]} {[]}
","Organisation","Modélisation d'une structure (organisation)","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"sas-organisation-logical.identifiant","sas-organisation-logical.identifiant","","","",1,1,"","","","Identifier {[]} {[]}
","Identifiant de l'organisation - IdStruct","Identifiant de l'organisation - IdStruct","","","","","","","","","",,,,,"",,,,"sas-organisation-logical.identifiant",1,1,"",""
"sas-organisation-logical.nom","sas-organisation-logical.nom","","","",1,1,"","","","string {[]} {[]}
","Libellé de l'organisation","Libellé de l'organisation","","","","","","","","","",,,,,"",,,,"sas-organisation-logical.nom",1,1,"",""
